PC	eigenvalue	proportion of total	cumulative proportion
671	4.6765	4.8365E-4	0.86417
672	2.36004	2.4408E-4	0.86441
673	2.36498	2.4459E-4	0.86465
674	4.65855	4.8179E-4	0.86514
675	4.65343	4.8126E-4	0.86562
676	4.64634	4.8053E-4	0.8661
677	2.37388	2.4551E-4	0.86634
678	2.37796	2.4593E-4	0.86659
679	2.38032	2.4617E-4	0.86684
680	4.63465	4.7932E-4	0.86731
681	4.63021	4.7886E-4	0.86779
682	4.62001	4.778E-4	0.86827
683	4.6185	4.7765E-4	0.86875
684	4.61126	4.769E-4	0.86923
685	4.59985	4.7572E-4	0.8697
686	4.59473	4.7519E-4	0.87018
687	4.58961	4.7466E-4	0.87065
688	4.58667	4.7435E-4	0.87113
689	2.38853	2.4702E-4	0.87137
690	2.39332	2.4752E-4	0.87162
691	2.39679	2.4788E-4	0.87187
692	2.40051	2.4826E-4	0.87212
693	2.40778	2.4901E-4	0.87237
694	2.41053	2.493E-4	0.87261
695	4.56792	4.7242E-4	0.87309
696	2.41923	2.502E-4	0.87334
697	4.55939	4.7153E-4	0.87381
698	4.55219	4.7079E-4	0.87428
699	4.54889	4.7045E-4	0.87475
700	4.54538	4.7008E-4	0.87522
701	2.42564	2.5086E-4	0.87547
702	2.42879	2.5119E-4	0.87572
703	2.43253	2.5157E-4	0.87597
704	2.43866	2.5221E-4	0.87623
705	2.4413	2.5248E-4	0.87648
706	2.44915	2.5329E-4	0.87673
707	4.53148	4.6865E-4	0.8772
708	4.52301	4.6777E-4	0.87767
709	4.51789	4.6724E-4	0.87814
710	4.51253	4.6669E-4	0.8786
711	4.50851	4.6627E-4	0.87907
712	4.49999	4.6539E-4	0.87953
713	2.45649	2.5405E-4	0.87979
714	2.46211	2.5463E-4	0.88004
715	2.46546	2.5498E-4	0.8803
716	2.46963	2.5541E-4	0.88055
717	4.4891	4.6426E-4	0.88102
718	2.47956	2.5644E-4	0.88127
719	2.48018	2.565E-4	0.88153
720	2.48674	2.5718E-4	0.88179
721	2.49278	2.578E-4	0.88204
722	2.49921	2.5847E-4	0.8823
723	2.49818	2.5836E-4	0.88256
724	4.4801	4.6333E-4	0.88303
725	4.47281	4.6258E-4	0.88349
726	4.46702	4.6198E-4	0.88395
